name,price,storage_gb,primary_use_case,OS,Weight,Touch,Size,Resolution,PPI,Anti Glare Screen,Processor,Brand,RAM,Generation,RAM_Type,GPU_Model,GPU_Type
Lenovo Legion Pro 5 16AFR10 83F20036IN Gaming Laptop (AMD Ryzen 9 9955HX / 32GB/ 1TB SSD/ Win11 Home/ 8GB RTX5070 Graph),265490,1024,Gaming,Windows 11,2.3,No,16.0,2560x1600,189,No,9th Gen AMD Ryzen 9 9955HX,Lenovo,32,9th Gen,DDR5,RTX 5070,Dedicated
Lenovo Yoga Slim 7 Aura Edition 83JX00EUIN AI Laptop (Intel Evo Core Ultra 7 258V/ 32GB/ 1TB/ Win11),159990,1024,General,Windows 11,1.85,Yes,14.0,1920x1200,202,No,Intel Core Ultra 7 258V,Lenovo,32,Core Ultra,LPDDR5X,Unknown,Integrated
Asus VivoBook 15 X515EA-EJ328WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),54953,512,General,Windows 11,1.8,No,15.6,1920x1080,141,Yes,11th Gen Intel Core i3 1115G4,Asus,8,11th Gen,DDR4,Unknown,Integrated
HP 250 G9 8Y2Y9PA Laptop (Intel Celeron N4500/ 8 GB RAM/ 256GB SSD/ DOS),40699,256,General,DOS,1.74,No,15.6,1366x768,100,Yes,Intel Celeron N4500,Hp,8,Celeron,DDR4,Unknown,Integrated
Lenovo IdeaPad Slim 3 83K100TEIN Laptop (13th Gen Core i7/ 24GB/ 1TB SSD/ Win11),76800,1024,General,Windows 11,1.62,No,15.6,1920x1080,157,Yes,13th Gen Intel Core i7 13620H,Lenovo,24,13th Gen,LPDDR5,Unknown,Integrated
Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),56500,512,Gaming,Windows 11,2.32,No,15.6,1920x1080,141,Yes,6th Gen AMD Ryzen 5 6600H,Lenovo,16,6th Gen,DDR4,RTX 3050,Dedicated
Lenovo Ideapad Slim 3i 83K100CAIN Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),61749,512,General,Windows 11,1.59,No,15.3,1920x1200,148,No,13th Gen Intel Core i5 13420H,Lenovo,8,13th Gen,DDR5,Unknown,Integrated
HP 15-bs015dx (1TJ82UA) Laptop (7th Gen Ci5/ 8GB/ 1TB/ Win10 Home),69911,1024,General,Windows 10,2.04,Yes,15.6,1366x768,100,No,7th Gen Intel Core i5 7200u,Hp,8,7th Gen,DDR4,HD GRAPHICS 620,Integrated
Huawei MateBook 16s 2023 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),185990,512,General,Windows 11,1.99,Yes,16.0,2520x1680,189,Yes,13th Gen Intel Core i5 13500H,Huawei,16,13th Gen,Unknown,IRIS XE,Integrated
Lenovo IdeaPad Slim 3i 82H801KEIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),51890,512,General,Windows 10,1.85,No,15.6,1920x1080,141,No,11th Gen Intel Core i5,Lenovo,8,11th Gen,DDR4,IRIS XE,Integrated
Lenovo IdeaPad Gaming 3 15ACH6 82K20289IN Laptop (AMD Ryzen 5 5500H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),68990,512,Gaming,Windows 11,2.25,No,15.6,1920x1080,141,Yes,5th Gen AMD Ryzen 5 5500H,Lenovo,8,5th Gen,DDR4,RTX 2050,Dedicated
HP ProBook 440 G5 (3WS11PA) Laptop (8th Gen Core i7/ 4GB/ 1TB/ Win10 Pro),76600,1024,General,Windows 10,1.85,No,14.0,1366x768,112,No,8th Gen Intel Core i7,Hp,4,8th Gen,DDR4,Unknown,Integrated
Lenovo ThinkBook 15 G5 21JFA02NIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),47990,512,Gaming,Windows 11,1.7,No,15.6,1920x1080,141,Yes,7th Gen AMD Ryzen 7 7730U,Lenovo,16,7th Gen,DDR4,Unknown,Unknown
